Votes12,Votes16,otherpres_shift,democratic_shift,republican_shift,state,county,fips,trump16,trump_zero,clinton16,clinton_zero,otherpres16,otherpres16_ 0,romney12,romney_zero,obama12,obama_zero,otherpres12,otherpres12_0,demsen16,repsen16,othersen16,demhouse16,rephouse16,otherhouse16,demgov16,repgov16,othergov16,repgov14,demgov14,othergov14,total_population,cvap,white_pct,black_pct,hispanic_pct,nonwhite_pct,foreignborn_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct,ruralurban_cc
35.544197659,29.941670703,2.478482536,-5.602526956,3.124044420,Pennsylvania,Adams,42001,31423,True,14219,True,1847,True,26767,True,15091,True,599,True,14593,30492,2418,12814,33788,0,NA,NA,NA,16729,11096,0,101759,78370,89.762084926,1.352214546,6.604821195,10.237915074,3.978026514,50.636307354,35.814031191,18.255879087,61927,5.524954721,12.207748122,78.133265442,10.616073332,77.446173524,53.675781751,3
56.694706959,56.546544145,2.358134065,-0.148162815,-2.209971250,Pennsylvania,Allegheny,42003,259480,True,367617,True,23017,True,262039,True,352687,True,7355,True,357450,261316,28260,311338,292805,0,NA,NA,NA,146989,205311,0,1230360,961595,79.368233688,12.825026821,1.890097207,20.631766312,5.620224975,51.800367372,36.392437986,17.403686726,54357,6.406960858,6.132273227,60.930418570,5.274032679,59.566889753,2.486291717,1
30.555367881,22.702258207,1.621661853,-7.853109673,6.231447820,Pennsylvania,Armstrong,42005,23484,True,7178,True,956,True,20142,True,9045,True,415,True,8387,20793,2220,0,26957,0,NA,NA,NA,11287,7030,0,67512,54155,97.335288541,0.939092310,0.675435478,2.664711459,0.641367461,50.371785757,31.895070506,20.242327290,45879,7.733723391,10.900014148,84.495826344,10.779271743,84.625234938,67.486691519,1
46.045927877,38.926182527,2.101960231,-7.119745350,5.017785119,Pennsylvania,Beaver,42007,48167,True,32531,True,2873,True,42344,True,37055,True,1075,True,34263,44000,5058,34109,48729,0,NA,NA,NA,22911,24028,0,169205,134970,89.851363730,5.992730711,1.423716793,10.148636270,1.647114447,51.523300139,33.270884430,19.682633492,51887,6.105234204,8.067557529,76.595675208,7.698287208,76.291218741,25.827523323,1
22.067566945,15.420738672,0.907439398,-6.646828272,5.739388875,Pennsylvania,Bedford,42009,19552,True,3645,True,440,True,16702,True,4788,True,207,True,4356,17739,1344,8811,14343,0,NA,NA,NA,8944,4738,0,48852,38650,97.003193319,0.472856792,1.115614509,2.996806681,0.540407762,50.034798985,32.575943667,20.537541963,46746,6.216284558,13.343341075,86.237466720,13.253850840,86.241406318,83.794863551,6
48.738257398,42.846529921,2.840476819,-5.891727477,3.051250658,Pennsylvania,Berks,42011,96626,True,78437,True,8002,True,84702,True,83011,True,2607,True,77028,95466,6919,74137,99194,1789,NA,NA,NA,48809,50762,0,414097,306015,74.074431836,4.085757685,18.823125983,25.925568164,7.051970915,50.846782276,38.918176176,15.840008500,57068,8.208129271,14.467593841,76.381860751,9.955477278,73.821891232,23.736030838,2
32.395851993,25.420240762,2.021487812,-6.975611231,4.954123420,Pennsylvania,Blair,42013,39135,True,13958,True,1816,True,33319,True,16276,True,646,True,15107,36533,3150,19888,33679,0,NA,NA,NA,17209,12459,0,125917,99495,95.024500266,1.575641097,1.135668734,4.975499734,1.149963865,51.035999905,35.278794762,19.311133524,44033,5.815087168,9.326127343,80.466137477,9.297965742,80.509787026,23.430824068,3
36.813796636,24.774389295,2.986673614,-12.039407341,9.052733727,Pennsylvania,Bradford,42015,18141,True,6369,True,1198,True,14410,True,8624,True,392,True,6985,16574,2000,6159,19201,0,NA,NA,NA,9634,4920,0,61808,47850,96.131568729,0.551708517,1.433471395,3.868431271,1.341250324,50.588920528,34.827206834,19.332448874,51035,5.406076075,11.146526026,82.318275625,11.034254039,82.574501350,72.174315736,6
50.004049642,48.522060895,2.519917531,-1.481988747,-1.037928784,Pennsylvania,Bucks,42017,164361,True,167060,True,12876,True,156579,True,160521,True,3916,True,157709,175898,5845,156527,182120,0,NA,NA,NA,94546,103787,0,626220,474050,85.248954042,3.715786784,4.854364281,14.751045958,8.528153045,50.964836639,34.802465587,16.659800070,79559,6.195625661,6.432711508,61.650455796,5.500394988,61.589398844,8.829602286,1
31.919056403,29.446487622,2.913657203,-2.472568781,-0.441088422,Pennsylvania,Butler,42019,64428,True,28584,True,4059,True,59761,True,28550,True,1134,True,28715,62425,5465,0,80065,0,NA,NA,NA,35783,20153,0,185974,145675,95.185886199,1.050146795,1.312011356,4.814113801,2.033617602,50.568896727,35.269446267,16.976566617,63345,5.154692157,6.487712897,66.709846545,6.355043685,67.208101668,41.964081757,1
40.063774246,29.913432268,1.246416908,-10.150341978,8.903925070,Pennsylvania,Cambria,42021,42258,True,18867,True,1947,True,35163,True,24249,True,1114,True,21894,36948,3886,21543,40932,0,NA,NA,NA,17841,21441,0,137762,110410,93.053962631,3.179396350,1.525819892,6.946037369,1.169408110,50.736052032,33.938241315,20.381527562,42917,8.305494575,9.527493333,79.779524032,9.178349829,79.541404556,32.006069085,3
